threshold,cost_per_10k
0.389,3822867.133618091
0.39,3822867.133618091
0.391,3822867.133618091
0.392,3822867.133618091
0.393,3822867.133618091
0.394,3822867.133618091
0.395,3822867.133618091
0.396,3822867.133618091
0.397,3822867.133618091
0.398,3822867.133618091
0.399,3822867.133618091
0.4,3822867.133618091
0.401,3822867.133618091
0.402,3822867.133618091
0.403,3822867.133618091
0.404,3823244.4154279595
0.405,3823244.4154279595
0.406,3823244.4154279595
0.40700000000000003,3823244.4154279595
0.40800000000000003,3823244.4154279595
0.40900000000000003,3823244.4154279595
0.41000000000000003,3823244.4154279595
0.41100000000000003,3823244.4154279595
0.41200000000000003,3823244.4154279595
0.41300000000000003,3823244.4154279595
0.41400000000000003,3823244.4154279595
0.41500000000000004,3823244.4154279595
0.41600000000000004,3823244.4154279595
0.417,3823244.4154279595
0.418,3823244.4154279595
0.419,3822955.0192820593
0.42,3822955.0192820593
0.421,3822955.0192820593
0.422,3822955.0192820593
0.423,3822955.0192820593
0.424,3822955.0192820593
0.425,3822955.0192820593
0.426,3822955.0192820593
0.427,3822955.0192820593
0.428,3822955.0192820593
0.429,3822955.0192820593
0.43,3822955.0192820593
0.431,3822955.0192820593
0.432,3822955.0192820593
0.433,3822955.0192820593
0.434,3822955.0192820593
0.435,3822955.0192820593
0.436,3822955.0192820593
0.437,3822955.0192820593
0.438,3822955.0192820593
0.439,3822955.0192820593
0.44,3822955.0192820593
0.441,3822955.0192820593
0.442,3822955.0192820593
0.443,3822955.0192820593
0.444,3823813.8169885366
0.445,3823813.8169885366
0.446,3823813.8169885366
0.447,3823813.8169885366
0.448,3823345.601456989
0.449,3823345.601456989
0.45,3823345.601456989
0.451,3823345.601456989
0.452,3823345.601456989
0.453,3823345.601456989
0.454,3822877.3859254415
0.455,3822877.3859254415
0.456,3822877.3859254415
0.457,3822877.3859254415
0.458,3822877.3859254415
0.459,3822877.3859254415
0.46,3822877.3859254415
0.461,3823060.522036958
0.462,3851627.9967605597
0.463,3851627.9967605597
0.464,3851627.9967605597
0.465,3851627.9967605597
0.466,3851627.9967605597
0.467,3851627.9967605597
0.468,3851627.9967605597
0.46900000000000003,3851627.9967605597
0.47000000000000003,3851627.9967605597
0.47100000000000003,3851627.9967605597
0.47200000000000003,3851627.9967605597
0.47300000000000003,3859135.701573104
0.47400000000000003,3859135.701573104
0.47500000000000003,3859135.701573104
0.47600000000000003,3859135.701573104
0.47700000000000004,3858225.802159008
0.47800000000000004,3858225.802159008
0.47900000000000004,3858225.802159008
0.48,3858225.802159008
0.481,3858225.802159008
0.482,3858225.802159008
0.483,3858225.802159008
0.484,3858225.802159008
0.485,3858225.802159008
0.486,3858225.802159008
0.487,3858225.802159008
0.488,3858225.802159008
0.489,3858225.802159008
0.49,3858225.802159008
0.491,3858225.802159008
0.492,3858225.802159008
0.493,3858225.802159008
0.494,3858225.802159008
0.495,3858225.802159008
0.496,3858225.802159008
0.497,3858225.802159008
0.498,3858225.802159008
0.499,3858225.802159008
0.5,3858225.802159008
0.501,3858225.802159008
0.502,3858225.802159008
0.503,3858225.802159008
0.504,3858225.802159008
0.505,3858225.802159008
0.506,3858225.802159008
0.507,3858225.802159008
0.508,3858225.802159008
0.509,3858225.802159008
0.51,3858225.802159008
0.511,3858225.802159008
0.512,3858225.802159008
0.513,3858225.802159008
0.514,3858225.802159008
0.515,3858225.802159008
0.516,3858225.802159008
0.517,3858225.802159008
0.518,3858225.802159008
0.519,3858225.802159008
0.52,3858225.802159008
0.521,3858225.802159008
0.522,3858225.802159008
0.523,3858225.802159008
0.524,3858225.802159008
0.525,3858771.740464597
0.526,3858771.740464597
0.527,3907930.3636963046
0.528,3907930.3636963046
0.529,3907930.3636963046
0.53,3907930.3636963046
0.531,3907930.3636963046
0.532,3907930.3636963046
0.533,3907930.3636963046
0.534,3907930.3636963046
0.535,3907930.3636963046
0.536,3907930.3636963046
0.537,3907930.3636963046
0.538,3907930.3636963046
0.539,3907930.3636963046
0.54,3908968.2713808445
0.541,3908968.2713808445
0.542,3908968.2713808445
0.543,3908968.2713808445
0.544,3908968.2713808445
0.545,3908968.2713808445
0.546,3908968.2713808445
0.547,3908968.2713808445
0.548,3908968.2713808445
0.549,3908968.2713808445
0.55,3908968.2713808445
0.551,3908968.2713808445
0.552,3908968.2713808445
0.553,3908968.2713808445
0.554,3908968.2713808445
0.555,3908968.2713808445
0.556,3908968.2713808445
0.557,3908968.2713808445
0.558,3908968.2713808445
0.559,3908968.2713808445
0.56,3908968.2713808445
0.561,3908938.6390033304
0.562,3908938.6390033304
0.5630000000000001,3908938.6390033304
0.5640000000000001,3908938.6390033304
0.5650000000000001,4025307.69508324
0.5660000000000001,4025307.69508324
0.5670000000000001,4025307.69508324
0.5680000000000001,4025307.69508324
0.5690000000000001,4025307.69508324
0.5700000000000001,4025307.69508324
0.5710000000000001,4025307.69508324
0.5720000000000001,4025307.69508324
0.5730000000000001,4025307.69508324
0.5740000000000001,4025307.69508324
0.5750000000000001,4025307.69508324
0.5760000000000001,4025307.69508324
0.577,4025307.69508324
0.578,4025307.69508324
0.579,4025307.69508324
0.58,4025307.69508324
0.581,4025307.69508324
0.582,4025307.69508324
0.583,4025307.69508324
0.584,4025307.69508324
0.585,4025307.69508324
0.586,4025307.69508324
0.587,4025307.69508324
0.588,4025307.69508324
0.589,4025307.69508324
0.59,4025307.69508324
0.591,4025307.69508324
0.592,4025307.69508324
0.593,4025307.69508324
0.594,4025307.69508324
0.595,4025307.69508324
0.596,4025307.69508324
0.597,4025307.69508324
0.598,4025307.69508324
0.599,4025307.69508324
0.6,4025307.69508324
0.601,4025307.69508324
0.602,4025307.69508324
0.603,4025307.69508324
0.604,4025307.69508324
0.605,4025307.69508324
0.606,4025307.69508324
0.607,4025307.69508324
0.608,4025307.69508324
0.609,4025307.69508324
0.61,4025307.69508324
0.611,4025307.69508324
0.612,4025307.69508324
0.613,4025307.69508324
0.614,4025307.69508324
0.615,4025307.69508324
0.616,4025307.69508324
0.617,4025307.69508324
0.618,4025307.69508324
0.619,4025307.69508324
0.62,4025307.69508324
0.621,4025307.69508324
0.622,4025307.69508324
0.623,4025307.69508324
0.624,4025307.69508324
0.625,4025307.69508324
0.626,4025307.69508324
0.627,4131265.0953780017
0.628,4131265.0953780017
0.629,4131265.0953780017
0.63,4131265.0953780017
0.631,4131265.0953780017
0.632,4131265.0953780017
0.633,4131265.0953780017
